Reaction,Rate of Progress (ropi)
CH + H2O <=> CH2O + H,2.2434707852474187e-16 mol/m^3/s
CH + CH2 <=> C2H2 + H,9.231898397989333e-39 mol/m^3/s
CH + CH3 <=> C2H3 + H,-3.53843336119329e-30 mol/m^3/s
CH + CH4 <=> C2H4 + H,2.557193527786754e-36 mol/m^3/s
CH + CO (+M) <=> HCCO (+M),-4.607460974271406e-17 mol/m^3/s
CH + CO2 <=> CO + HCO,1.7372315703686233e-30 mol/m^3/s
CH + CH2O <=> CH2CO + H,-3.9804108896186155e-23 mol/m^3/s
CH + HCCO <=> C2H2 + CO,9.419062416701197e-40 mol/m^3/s
CH2 + O2 => CO + H + OH,1.433472043967563e-13 mol/m^3/s
CH2 + H2 <=> CH3 + H,-1.019838226287183e-17 mol/m^3/s
2 CH2 <=> C2H2 + H2,1.5470912071174994e-35 mol/m^3/s
CH2 + CH3 <=> C2H4 + H,1.688419289801126e-33 mol/m^3/s
CH2 + CH4 <=> 2 CH3,-6.9300618728050515e-34 mol/m^3/s
CH2 + CO (+M) <=> CH2CO (+M),-4.945484566403002e-15 mol/m^3/s
CH2 + HCCO <=> C2H3 + CO,4.780544462465743e-37 mol/m^3/s
CH2(S) + N2 <=> CH2 + N2,3.333689745422624e-43 mol/m^3/s
AR + CH2(S) <=> AR + CH2,2.367268128931786e-13 mol/m^3/s
CH2(S) + O2 <=> CO + H + OH,1.321722086202494e-13 mol/m^3/s
CH2(S) + O2 <=> CO + H2O,5.6645232265821157e-14 mol/m^3/s
CH2(S) + H2 <=> CH3 + H,-9.742294737503205e-17 mol/m^3/s
CH2(S) + H2O (+M) <=> CH3OH (+M),2.9003966935656505e-14 mol/m^3/s
CH2(S) + H2O <=> CH2 + H2O,5.314740133145728e-14 mol/m^3/s
CH2(S) + CH3 <=> C2H4 + H,6.599952509574996e-35 mol/m^3/s
CH2(S) + CH4 <=> 2 CH3,-4.617429603782945e-34 mol/m^3/s
CH2(S) + CO <=> CH2 + CO,8.337675369845847e-32 mol/m^3/s
CH2(S) + CO2 <=> CH2 + CO2,1.8552693986695052e-28 mol/m^3/s
CH2(S) + CO2 <=> CH2O + CO,6.498892640097569e-28 mol/m^3/s
C2H6 + CH2(S) <=> C2H5 + CH3,0.0 mol/m^3/s
CH3 + O2 <=> CH3O + O,1.501724486531785e-13 mol/m^3/s
CH3 + O2 <=> CH2O + OH,1.2587386743831784e-13 mol/m^3/s
CH3 + H2O2 <=> CH4 + HO2,-5.0966813132637444e-21 mol/m^3/s
2 CH3 (+M) <=> C2H6 (+M),3.560799143108869e-32 mol/m^3/s
2 CH3 <=> C2H5 + H,9.271698370031888e-33 mol/m^3/s
CH3 + HCO <=> CH4 + CO,6.786737969638618e-34 mol/m^3/s
CH2O + CH3 <=> CH4 + HCO,1.000345794793176e-32 mol/m^3/s
CH3 + CH3OH <=> CH2OH + CH4,7.360146897818873e-34 mol/m^3/s
CH3 + CH3OH <=> CH3O + CH4,2.3706354829934804e-34 mol/m^3/s
C2H4 + CH3 <=> C2H3 + CH4,-3.865039121831646e-43 mol/m^3/s
C2H6 + CH3 <=> C2H5 + CH4,0.0 mol/m^3/s
HCO + H2O <=> CO + H + H2O,1.6775095902824673e-13 mol/m^3/s
HCO + M <=> CO + H + M,3.8818262527594094e-13 mol/m^3/s
HCO + O2 <=> CO + HO2,3.087861753878356e-13 mol/m^3/s
CH2OH + O2 <=> CH2O + HO2,1.5199860381770124e-13 mol/m^3/s
CH3O + O2 <=> CH2O + HO2,1.5321278853200064e-13 mol/m^3/s
C2H + O2 <=> CO + HCO,-4.906894247927723e-47 mol/m^3/s
C2H + H2 <=> C2H2 + H,0.0 mol/m^3/s
C2H3 + O2 <=> CH2O + HCO,1.7959577894206672e-21 mol/m^3/s
C2H4 (+M) <=> C2H2 + H2 (+M),0.0 mol/m^3/s
C2H5 + O2 <=> C2H4 + HO2,0.0 mol/m^3/s
HCCO + O2 <=> 2 CO + OH,8.80979967031705e-15 mol/m^3/s
2 HCCO <=> C2H2 + 2 CO,1.3006569108462787e-38 mol/m^3/s
N + NO <=> N2 + O,-9.202059320047456e-30 mol/m^3/s
N + O2 <=> NO + O,0.0 mol/m^3/s
N + OH <=> H + NO,0.0 mol/m^3/s
N2O + O <=> N2 + O2,-6.383594304064379e-30 mol/m^3/s
N2O + O <=> 2 NO,0.0 mol/m^3/s
H + N2O <=> N2 + OH,-3.907276321810995e-30 mol/m^3/s
N2O + OH <=> HO2 + N2,-1.5938258934898275e-29 mol/m^3/s
N2O (+M) <=> N2 + O (+M),-2.2705722859342784e-28 mol/m^3/s
HO2 + NO <=> NO2 + OH,0.0 mol/m^3/s
NO + O + M <=> NO2 + M,0.0 mol/m^3/s
NO2 + O <=> NO + O2,0.0 mol/m^3/s
H + NO2 <=> NO + OH,0.0 mol/m^3/s
NH + O <=> H + NO,0.0 mol/m^3/s
H + NH <=> H2 + N,0.0 mol/m^3/s
NH + OH <=> H + HNO,0.0 mol/m^3/s
NH + OH <=> H2O + N,0.0 mol/m^3/s
NH + O2 <=> HNO + O,0.0 mol/m^3/s
NH + O2 <=> NO + OH,0.0 mol/m^3/s
N + NH <=> H + N2,-1.0877467758505018e-38 mol/m^3/s
H2O + NH <=> H2 + HNO,0.0 mol/m^3/s
NH + NO <=> N2 + OH,-2.242527817966608e-31 mol/m^3/s
NH + NO <=> H + N2O,0.0 mol/m^3/s
NH2 + O <=> NH + OH,0.0 mol/m^3/s
NH2 + O <=> H + HNO,0.0 mol/m^3/s
H + NH2 <=> H2 + NH,0.0 mol/m^3/s
NH2 + OH <=> H2O + NH,0.0 mol/m^3/s
NNH <=> H + N2,8.632094158259214e-29 mol/m^3/s
NNH + M <=> H + N2 + M,4.917058086191534e-27 mol/m^3/s
NNH + O2 <=> HO2 + N2,1.2360764461517085e-28 mol/m^3/s
NNH + O <=> N2 + OH,1.0467433701242545e-31 mol/m^3/s
NNH + O <=> NH + NO,4.0194011093405645e-31 mol/m^3/s
H + NNH <=> H2 + N2,3.519104647699044e-33 mol/m^3/s
NNH + OH <=> H2O + N2,1.9278942877466296e-30 mol/m^3/s
CH3 + NNH <=> CH4 + N2,6.24065857531488e-49 mol/m^3/s
H + NO + M <=> HNO + M,0.0 mol/m^3/s
HNO + O <=> NO + OH,0.0 mol/m^3/s
H + HNO <=> H2 + NO,0.0 mol/m^3/s
HNO + OH <=> H2O + NO,0.0 mol/m^3/s
HNO + O2 <=> HO2 + NO,0.0 mol/m^3/s
CN + O <=> CO + N,8.698552160181176e-30 mol/m^3/s
CN + OH <=> H + NCO,1.0359639253346187e-28 mol/m^3/s
CN + H2O <=> HCN + OH,-1.5092708959287416e-27 mol/m^3/s
CN + O2 <=> NCO + O,4.5570411009674146e-27 mol/m^3/s
CN + H2 <=> H + HCN,-1.8439002159971175e-30 mol/m^3/s
NCO + O <=> CO + NO,9.189513984044148e-28 mol/m^3/s
H + NCO <=> CO + NH,3.5665486950372747e-29 mol/m^3/s
NCO + OH <=> CO + H + NO,2.2507407306882776e-27 mol/m^3/s
N + NCO <=> CO + N2,-2.354792716428123e-54 mol/m^3/s
NCO + O2 <=> CO2 + NO,3.0137574818296903e-27 mol/m^3/s
NCO + M <=> CO + N + M,1.0967334951114501e-27 mol/m^3/s
NCO + NO <=> CO + N2O,0.0 mol/m^3/s
NCO + NO <=> CO2 + N2,-7.207975246353953e-48 mol/m^3/s
HCN + M <=> CN + H + M,3.7715913167338163e-31 mol/m^3/s
HCN + O <=> H + NCO,1.0800049934420646e-27 mol/m^3/s
HCN + O <=> CO + NH,2.7003357977449413e-28 mol/m^3/s
HCN + O <=> CN + OH,2.112677862099123e-28 mol/m^3/s
HCN + OH <=> H + HOCN,-1.0334477931331678e-28 mol/m^3/s
HCN + OH <=> H + HNCO,2.098906578616603e-28 mol/m^3/s
HCN + OH <=> CO + NH2,3.8844701680614293e-29 mol/m^3/s
H + HCN (+M) <=> H2CN (+M),-9.516489259094626e-28 mol/m^3/s
H2CN + N <=> CH2 + N2,-3.0858891084403786e-50 mol/m^3/s
C + N2 <=> CN + N,2.6186677527858524e-54 mol/m^3/s
CH + N2 <=> HCN + N,7.502890439162179e-48 mol/m^3/s
CH + N2 (+M) <=> HCNN (+M),-1.3227683800539335e-27 mol/m^3/s
CH2 + N2 <=> HCN + NH,3.2882430344105816e-50 mol/m^3/s
CH2(S) + N2 <=> HCN + NH,3.5733232166139765e-52 mol/m^3/s
C + NO <=> CN + O,-2.9586457506664185e-33 mol/m^3/s
C + NO <=> CO + N,0.0 mol/m^3/s
CH + NO <=> HCN + O,-3.5848667184236176e-33 mol/m^3/s
CH + NO <=> H + NCO,-1.5649537844747827e-36 mol/m^3/s
CH + NO <=> HCO + N,0.0 mol/m^3/s
CH2 + NO <=> H + HNCO,-2.8736278595382696e-36 mol/m^3/s
CH2 + NO <=> HCN + OH,-5.339003613619908e-34 mol/m^3/s
CH2 + NO <=> H + HCNO,-2.9928226968777983e-28 mol/m^3/s
CH2(S) + NO <=> H + HNCO,-1.3918513858603263e-37 mol/m^3/s
CH2(S) + NO <=> HCN + OH,-2.5859644818185256e-35 mol/m^3/s
CH2(S) + NO <=> H + HCNO,-1.4495838090019534e-29 mol/m^3/s
CH3 + NO <=> H2O + HCN,-3.7540811581784255e-34 mol/m^3/s
CH3 + NO <=> H2CN + OH,-6.073592992733248e-33 mol/m^3/s
HCNN + O <=> CO + H + N2,2.929586953322577e-31 mol/m^3/s
HCNN + O <=> HCN + NO,2.6632608666568876e-32 mol/m^3/s
HCNN + O2 <=> HCO + N2 + O,9.437853878765472e-28 mol/m^3/s
HCNN + OH <=> H + HCO + N2,3.67896570130326e-30 mol/m^3/s
H + HCNN <=> CH2 + N2,2.2491241531719972e-32 mol/m^3/s
HNCO + O <=> CO2 + NH,1.067068527042496e-27 mol/m^3/s
HNCO + O <=> CO + HNO,7.278472768217177e-31 mol/m^3/s
HNCO + O <=> NCO + OH,-4.308118959968786e-29 mol/m^3/s
H + HNCO <=> CO + NH2,1.2236550749139906e-28 mol/m^3/s
H + HNCO <=> H2 + NCO,-7.152331667614186e-31 mol/m^3/s
HNCO + OH <=> H2O + NCO,-1.028975382337053e-27 mol/m^3/s
HNCO + OH <=> CO2 + NH2,5.625615536446168e-27 mol/m^3/s
HNCO + M <=> CO + NH + M,9.73496028579956e-28 mol/m^3/s
H + HCNO <=> H + HNCO,2.554171048682438e-27 mol/m^3/s
H + HCNO <=> HCN + OH,2.9380442702559574e-28 mol/m^3/s
H + HCNO <=> CO + NH2,1.2973193532430071e-28 mol/m^3/s
H + HOCN <=> H + HNCO,2.5891995973983792e-27 mol/m^3/s
HCCO + NO <=> CO + HCNO,-1.594740661969558e-43 mol/m^3/s
CH3 + N <=> H + H2CN,-9.448538496836907e-37 mol/m^3/s
CH3 + N <=> H2 + HCN,-7.996346374434662e-40 mol/m^3/s
H + NH3 <=> H2 + NH2,0.0 mol/m^3/s
NH3 + OH <=> H2O + NH2,0.0 mol/m^3/s
NH3 + O <=> NH2 + OH,0.0 mol/m^3/s
CO2 + NH <=> CO + HNO,0.0 mol/m^3/s
CN + NO2 <=> NCO + NO,0.0 mol/m^3/s
NCO + NO2 <=> CO2 + N2O,0.0 mol/m^3/s
CO2 + N <=> CO + NO,0.0 mol/m^3/s
CH3 + O => CO + H + H2,5.1584685293961773e-14 mol/m^3/s
C2H4 + O <=> CH2CHO + H,-4.555324423536648e-22 mol/m^3/s
C2H5 + O <=> CH3CHO + H,-1.5107409928328597e-21 mol/m^3/s
HO2 + OH <=> H2O + O2,80.93306107906528 mol/m^3/s
CH3 + OH => CH2O + H2,1.9607864501710803e-14 mol/m^3/s
CH + H2 (+M) <=> CH3 (+M),-3.7361464121312483e-17 mol/m^3/s
CH2 + O2 => CO2 + 2 H,1.662827571002373e-13 mol/m^3/s
CH2 + O2 <=> CH2O + O,6.880665127844687e-14 mol/m^3/s
2 CH2 => C2H2 + 2 H,2.4591294515399447e-36 mol/m^3/s
CH2(S) + H2O => CH2O + H2,1.790503044577333e-15 mol/m^3/s
C2H3 + O2 <=> CH2CHO + O,-4.803508430474747e-19 mol/m^3/s
C2H3 + O2 <=> C2H2 + HO2,5.963820936615013e-22 mol/m^3/s
CH3CHO + O <=> CH2CHO + OH,1.346640936004599e-14 mol/m^3/s
CH3CHO + O => CH3 + CO + OH,1.3466623633639383e-14 mol/m^3/s
CH3CHO + O2 => CH3 + CO + HO2,6.8122135083183e-14 mol/m^3/s
CH3CHO + H <=> CH2CHO + H2,9.272811343642479e-16 mol/m^3/s
CH3CHO + H => CH3 + CO + H2,9.272960776947073e-16 mol/m^3/s
CH3CHO + OH => CH3 + CO + H2O,1.3327432493052655e-12 mol/m^3/s
CH3CHO + HO2 => CH3 + CO + H2O2,3.006684217885825e-16 mol/m^3/s
CH3CHO + CH3 => CH4 + CO + CH3,1.7527356386308482e-32 mol/m^3/s
CH2CO + H (+M) <=> CH2CHO (+M),-1.3885425573121764e-14 mol/m^3/s
CH2CHO + O => CH2 + CO2 + H,5.943653088718513e-17 mol/m^3/s
CH2CHO + O2 => CH2O + CO + OH,4.235932783171676e-17 mol/m^3/s
CH2CHO + O2 => 2 HCO + OH,5.499691735057147e-17 mol/m^3/s
CH2CHO + H <=> CH3 + HCO,1.4723619730987276e-19 mol/m^3/s
CH2CHO + H <=> CH2CO + H2,7.359792455245004e-20 mol/m^3/s
CH2CHO + OH <=> CH2CO + H2O,1.0944267245581375e-16 mol/m^3/s
CH2CHO + OH <=> CH2OH + HCO,2.745930054897106e-16 mol/m^3/s
C2H5 + CH3 (+M) <=> C3H8 (+M),-4.986429247494581e-28 mol/m^3/s
C3H8 + O <=> C3H7 + OH,1.0397526807217518e-28 mol/m^3/s
C3H8 + H <=> C3H7 + H2,1.928604073617897e-30 mol/m^3/s
C3H8 + OH <=> C3H7 + H2O,9.82451117686839e-28 mol/m^3/s
C3H7 + H2O2 <=> C3H8 + HO2,-1.2681878183649263e-31 mol/m^3/s
C3H8 + CH3 <=> C3H7 + CH4,1.9443758149924098e-48 mol/m^3/s
C2H4 + CH3 (+M) <=> C3H7 (+M),0.0 mol/m^3/s
C3H7 + O <=> C2H5 + CH2O,0.0 mol/m^3/s
C3H7 + H (+M) <=> C3H8 (+M),-4.047093259248305e-31 mol/m^3/s
C3H7 + H <=> C2H5 + CH3,0.0 mol/m^3/s
C3H7 + OH <=> C2H5 + CH2OH,0.0 mol/m^3/s
C3H7 + HO2 <=> C3H8 + O2,-1.1095233143197241e-30 mol/m^3/s
C3H7 + HO2 => C2H5 + CH2O + OH,0.0 mol/m^3/s
C3H7 + CH3 <=> 2 C2H5,0.0 mol/m^3/s
